Notes,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,"Nassau County, NY",36059,Assault by other and unspecified firearm discharge,X95,18,1337086,Unreliable
,"New York County, NY",36061,Terrorism involving destruction of aircraft,U01.1,339,1555729,21.8
,"New York County, NY",36061,Assault by other and unspecified firearm discharge,X95,51,1555729,3.3
,"New York County, NY",36061,Assault by sharp object,X99,24,1555729,1.5
,"New York County, NY",36061,Assault by unspecified means,Y09,19,1555729,Unreliable
,"Orange County, NY",36071,Terrorism involving destruction of aircraft,U01.1,34,347674,9.8
,"Queens County, NY",36081,Terrorism involving destruction of aircraft,U01.1,258,2231316,11.6
,"Queens County, NY",36081,Assault by other and unspecified firearm discharge,X95,49,2231316,2.2
,"Queens County, NY",36081,Assault by sharp object,X99,21,2231316,0.9
,"Richmond County, NY",36085,Terrorism involving destruction of aircraft,U01.1,195,448961,43.4
,"Rockland County, NY",36087,Terrorism involving destruction of aircraft,U01.1,46,290613,15.8
,"Suffolk County, NY",36103,Terrorism involving destruction of aircraft,U01.1,143,1442488,9.9
,"Suffolk County, NY",36103,Assault by other and unspecified firearm discharge,X95,17,1442488,Unreliable
,"Suffolk County, NY",36103,Assault by unspecified means,Y09,12,1442488,Unreliable
,"Westchester County, NY",36119,Terrorism involving destruction of aircraft,U01.1,110,931577,11.8
,"Cleveland County, NC",37045,Assault by other and unspecified firearm discharge,X95,14,96861,Unreliable
,"Cumberland County, NC",37051,Assault by other and unspecified firearm discharge,X95,23,304316,7.6
,"Durham County, NC",37063,Assault by other and unspecified firearm discharge,X95,16,228978,Unreliable
,"Forsyth County, NC",37067,Assault by other and unspecified firearm discharge,X95,10,310807,Unreliable
,"Gaston County, NC",37071,Assault by other and unspecified firearm discharge,X95,12,191424,Unreliable
,"Guilford County, NC",37081,Assault by other and unspecified firearm discharge,X95,22,428381,5.1
,"Mecklenburg County, NC",37119,Assault by other and unspecified firearm discharge,X95,42,720171,5.8
,"New Hanover County, NC",37129,Assault by other and unspecified firearm discharge,X95,15,164386,Unreliable
,"Robeson County, NC",37155,Assault by other and unspecified firearm discharge,X95,22,123913,17.8
,"Wake County, NC",37183,Assault by other and unspecified firearm discharge,X95,11,656819,Unreliable
,"Cuyahoga County, OH",39035,Assault by other and unspecified firearm discharge,X95,60,1382520,4.3
,"Cuyahoga County, OH",39035,Assault by unspecified means,Y09,20,1382520,1.4
,"Franklin County, OH",39049,Assault by other and unspecified firearm discharge,X95,55,1082938,5.1
,"Franklin County, OH",39049,Assault by sharp object,X99,10,1082938,Unreliable
,"Hamilton County, OH",39061,Assault by handgun discharge,X93,15,840335,Unreliable
,"Hamilton County, OH",39061,Assault by other and unspecified firearm discharge,X95,27,840335,3.2
,"Mahoning County, OH",39099,Assault by other and unspecified firearm discharge,X95,22,255264,8.6
,"Montgomery County, OH",39113,Assault by other and unspecified firearm discharge,X95,22,555536,4
,"Oklahoma County, OK",40109,Assault by other and unspecified firearm discharge,X95,27,664836,4.1
,"Tulsa County, OK",40143,Assault by other and unspecified firearm discharge,X95,31,566175,5.5
,"Allegheny County, PA",42003,Assault by other and unspecified firearm discharge,X95,58,1272416,4.6
,"Allegheny County, PA",42003,Assault by other specified means,Y08,11,1272416,Unreliable
,"Berks County, PA",42011,Assault by other and unspecified firearm discharge,X95,18,377487,Unreliable
,"Bucks County, PA",42017,Terrorism involving destruction of aircraft,U01.1,11,602883,Unreliable
,"Dauphin County, PA",42043,Assault by other and unspecified firearm discharge,X95,11,252500,Unreliable
,"Delaware County, PA",42045,Assault by other and unspecified firearm discharge,X95,24,552041,4.3
,"Philadelphia County, PA",42101,Assault by other and unspecified firearm discharge,X95,237,1505455,15.7
,"Philadelphia County, PA",42101,Assault by other specified means,Y08,21,1505455,1.4
,"Philadelphia County, PA",42101,Assault by unspecified means,Y09,22,1505455,1.5
,"Providence County, RI",44007,Assault by other and unspecified firearm discharge,X95,16,626935,Unreliable
,"Charleston County, SC",45019,Assault by other and unspecified firearm discharge,X95,22,313065,7
,"Horry County, SC",45051,Assault by other and unspecified firearm discharge,X95,13,201982,Unreliable
,"Lexington County, SC",45063,Assault by other and unspecified firearm discharge,X95,15,220099,Unreliable
,"Orangeburg County, SC",45075,Assault by other and unspecified firearm discharge,X95,12,91536,Unreliable
,"Richland County, SC",45079,Assault by other and unspecified firearm discharge,X95,19,327446,Unreliable
,"Spartanburg County, SC",45083,Assault by other and unspecified firearm discharge,X95,20,256469,7.8
,"Davidson County, TN",47037,Assault by other and unspecified firearm discharge,X95,53,574119,9.2
,"Hamilton County, TN",47065,Assault by other and unspecified firearm discharge,X95,18,310254,Unreliable
,"Knox County, TN",47093,Assault by other and unspecified firearm discharge,X95,10,385823,Unreliable
,"Shelby County, TN",47157,Assault by other and unspecified firearm discharge,X95,104,899345,11.6
,"Shelby County, TN",47157,Assault by sharp object,X99,27,899345,3
,"Shelby County, TN",47157,Assault by unspecified means,Y09,12,899345,Unreliable
,"Bexar County, TX",48029,Assault by other and unspecified firearm discharge,X95,60,1419020,4.2
,"Bexar County, TX",48029,Assault by sharp object,X99,22,1419020,1.6
,"Dallas County, TX",48113,"Assault by rifle, shotgun and larger firearm discharge",X94,14,2249418,Unreliable
,"Dallas County, TX",48113,Assault by other and unspecified firearm discharge,X95,213,2249418,9.5
,"Dallas County, TX",48113,Assault by sharp object,X99,10,2249418,Unreliable
,"Dallas County, TX",48113,Assault by unspecified means,Y09,42,2249418,1.9
,"Galveston County, TX",48167,Assault by other and unspecified firearm discharge,X95,11,254521,Unreliable
,"Harris County, TX",48201,"Assault by hanging, strangulation and suffocation",X91,16,3471291,Unreliable
,"Harris County, TX",48201,"Assault by rifle, shotgun and larger firearm discharge",X94,17,3471291,Unreliable
,"Harris County, TX",48201,Assault by other and unspecified firearm discharge,X95,197,3471291,5.7
,"Harris County, TX",48201,Assault by sharp object,X99,34,3471291,1
,"Harris County, TX",48201,Assault by other specified means,Y08,10,3471291,Unreliable
,"Harris County, TX",48201,Assault by unspecified means,Y09,16,3471291,Unreliable
,"Hidalgo County, TX",48215,Assault by other and unspecified firearm discharge,X95,14,590067,Unreliable
,"Jefferson County, TX",48245,Assault by other and unspecified firearm discharge,X95,13,250137,Unreliable
,"McLennan County, TX",48309,Assault by other and unspecified firearm discharge,X95,11,215099,Unreliable
,"Montgomery County, TX",48339,Assault by other and unspecified firearm discharge,X95,12,311437,Unreliable
,"Tarrant County, TX",48439,Assault by other and unspecified firearm discharge,X95,49,1490204,3.3
,"Tarrant County, TX",48439,Assault by sharp object,X99,15,1490204,Unreliable
,"Tarrant County, TX",48439,Assault by unspecified means,Y09,14,1490204,Unreliable
,"Travis County, TX",48453,Assault by other and unspecified firearm discharge,X95,21,844877,2.5
,"Salt Lake County, UT",49035,Assault by other and unspecified firearm discharge,X95,17,910750,Unreliable
,"Fairfax County, VA",51059,Terrorism involving destruction of aircraft,U01.1,54,991564,5.4
,"Henrico County, VA",51087,Assault by other and unspecified firearm discharge,X95,11,267722,Unreliable
,"Prince William County, VA",51153,Terrorism involving destruction of aircraft,U01.1,18,298843,Unreliable
,"Alexandria city, VA",51510,Terrorism involving destruction of aircraft,U01.1,10,130932,Unreliable
,"Hampton city, VA",51650,Assault by handgun discharge,X93,12,143432,Unreliable
,"Newport News city, VA",51700,Assault by handgun discharge,X93,21,181873,11.5
,"Norfolk city, VA",51710,Assault by handgun discharge,X93,20,236489,8.5
,"Richmond city, VA",51760,Assault by other and unspecified firearm discharge,X95,34,197575,17.2
,"King County, WA",53033,Assault by other and unspecified firearm discharge,X95,34,1754090,1.9
,"King County, WA",53033,Assault by unspecified means,Y09,13,1754090,Unreliable
,"Pierce County, WA",53053,Assault by other and unspecified firearm discharge,X95,16,716447,Unreliable
,"Milwaukee County, WI",55079,Assault by handgun discharge,X93,82,939305,8.7
,"Milwaukee County, WI",55079,Assault by sharp object,X99,14,939305,Unreliable
---,,,,,,,
"Dataset: Underlying Cause of Death, 1999-2017",,,,,,,
Query Parameters:,,,,,,,
Injury Intent: Homicide,,,,,,,
Year/Month: 2001,,,,,,,
Group By: County; Cause of death,,,,,,,
Show Totals: Disabled,,,,,,,
Show Zero Values: Disabled,,,,,,,
Show Suppressed: False,,,,,,,
"Calculate Rates Per: 100,000",,,,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,,,
---,,,,,,,
Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information.,,,,,,,
---,,,,,,,
"Query Date: Oct 9, 2019 5:55:26 PM",,,,,,,
---,,,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death",,,,,,,
"1999-2017 on CDC WONDER Online Database, released December, 2018. Data are from the Multiple Cause of Death Files, 1999-2017, as",,,,,,,
compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed,,,,,,,
"at http://wonder.cdc.gov/ucd-icd10.html on Oct 9, 2019 5:55:26 PM",,,,,,,
---,,,,,,,
Messages:,,,,,,,
"1. Selections made to any variable in [ICD-10 Codes, Injury Intent] cause equivalent selections in the other variables. More",,,,,,,
Information: http://wonder.cdc.gov/wonder/help/faq.html#related-variables.,,,,,,,
"2. The full results are too long to be displayed. Due to suppression constraints rows that are zero, suppressed or a total will",,,,,,,
not be available.,,,,,,,
---,,,,,,,
Footnotes:,,,,,,,
1. Data are not available for this area for all of the requested years. See Caveats below for more information.,,,,,,,
---,,,,,,,
Caveats:,,,,,,,
"1. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other",,,,,,,
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in",,,,,,,
interpreting these data. More information: http://wonder.cdc.gov/wonder/help/ucd.html#California-Reporting-Anomalies.,,,,,,,
"2. Data for Prince of Wales-Hyder Census Area, AK (FIPS code 02198), Hoonah-Angoon Census Area, AK (FIPS code 02105), Skagway",,,,,,,
"Municipality, AK (FIPS code 02230), Petersburg Borough/Census Area, AK (FIPS code 02195) and Wrangell City and Borough, AK (FIPS",,,,,,,
"code 02275) are only available for 2014 and later; for computational purposes, counts and population estimates for 2013 and",,,,,,,
"earlier are set to zero. Thus, counts and rates shown in multi-year requests for this entity do not include any data for years",,,,,,,
"before 2014, only data for 2014 and later. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Alaska2014.",,,,,,,
"3. Data for Denali Borough, Alaska (FIPS code 02068) are only available for 2003 and later; for computational purposes, counts",,,,,,,
"and population estimates for 1999-2002 are set to zero. Thus, counts and rates shown in multi-year requests for this entity do",,,,,,,
"not include any data for years prior to 2003, only data for 2003 and later. More information:",,,,,,,
http://wonder.cdc.gov/wonder/help/ucd.html#Denali Borough.,,,,,,,
"4. Death rates for Clifton Forge city, Virginia (FIPS code 51560) are available only for 1999-2000. For 2001 and beyond, death",,,,,,,
"counts and population estimates for Clifton Forge city have been combined with those for Alleghany county, Virginia (FIPS code",,,,,,,
"51005). Death counts and population estimates for this entity from multi-year requests, only reflect data from 1999 and 2000;",,,,,,,
for 2001 and beyond they have been set to zero. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Clifton Forge.,,,,,,,
"5. Data for Broomfield, Colorado (FIPS code 08014) are only available for 2003 and later; for computational purposes, counts and",,,,,,,
"population estimates for 1999-2002 are set to zero. Thus, counts and rates shown in multi-year requests for this entity do not",,,,,,,
"include any data for years prior to 2003, only data for 2003 and later. More information:",,,,,,,
